index,game_question_index,answer,explanation,right
28,7,…unnecessary.,"Oops, that's wrong! The European Parliament sees carbon neutrality as an absolutely essential step towards climate changes mitigation.",false
29,7,…obligatory.,"That's right! From 24 June 2021, the commitment to make EU carbon neutral becomes formally binding. It also increases the target for Greenhouse Gases emissions from 40% to 55% in 2030.",true
30,7,…preferable.,"Oops, that's wrong! One of the aims of the European Climate Law is to elevate the political commitment from advisable or preferable to something more ambitious.",false
31,7,…irrealistic.,"Oops, that's wrong! European Scientific Advisory Board on Climate Change is accountable for independent scientific assessment and advice on the progress of the European Climate Law. This board will monitor if the policies are coherent with the objectives voted in this law.",false
32,8,Sweden,"Oops, that's wrong! Sweden has one of the lowest emissions intensities (a measure of how much greenhouse gas is produced, adjusted for the size of its economies) in the EU. It voted in favour of adopting the EU Climate Law.",false
33,8,Czech Republic,"Oops, that's wrong! The Czech Republic does have a history of mining fossil fuels, especially coal, but it has committed to a programme of shutting down its coal-fired power plants. It voted in favour of adopting the EU Climate Law.",false
34,8,Bulgaria,"That's right! Bulgaria abstained from the vote on the EU Climate Law, simply saying that ""the law does not align with our current situation"". Bulgaria is the EU's poorest country and still heavily dependent on fossil fuels.",true
35,8,Ukraine,"Oops, that's wrong! Although Ukraine does heavily depend on fossil fuels and has struggled to reduce its emissions intensity (a measure of how much greenhouse gas is produced, adjusted for the size of its economy), it is not a member of the EU. As such, it is not represented on the Council of the EU and does not have a vote.",false
36,9,ECCA 2021,"Oops, that's wrong! The 5th European Climate Change Adaptation conference took place in June 2021 and it is na EU internal conference to exchange knowledge and encourage the dialogue on solutions for climate changes adaptation.",false
37,9,11th EU ETS Compliance Conference,"Oops, that's wrong! Although the Emissions Trade System (ETS) is an important part of the Fit for 55, it does not describe the full content of the policy package. The 11th EU ETS Compliance Conference was held virtually in November 2020 and it reviewd and included recommendations over carbon pricing.",false
38,9,COP25,"Oops, that's wrong! COP25 was the 2019 United Nations Climate Change Conferece. Although this event followed the progress of the Paris Agreement internationally, it was hosted in Madrid in 2019, before the Fit for 55 package was introduced.",false
39,9,COP26,"That's right! COP 26, also called the 2021 United Nations Climate Change Conference, will host the international debate on the progress towards the Paris Agreement goals, promoting updates and negotiations in the countries' plans to reduce emissions.",true
40,10,10%-39%,"Correct! Although 11pp higher than 2015,worryingly, just 37% of the participants answered that they know what to do when these fundamental rights are violated.",true
41,10,40%-69%,"Oops! Bonus Fact: 81% Answered that they are aware of their right, when in another Member State, to be treated in the same way as a national of that Member State",false
42,10,69%-100%,"Oops! Bonus Fact:79% of the participants, when asked whether having more accessible information about the effect of the EU on their lives would make them more inclined to vote in the next European Parliament elections answered “Most Likely”",false
43,11,Estonia,"Correct! With a staggering 21.7%, Estonia is at the first place in the gender pay gap ranking in the European Union, according to Eurostat. ",true
44,11,Germany,"Oops! Even if Germany, with 19%, ranks among the countries with the highest gender pay gaps in Europe, it is not the country on top of the list.",false
45,11,Luxembourg,"Oops! Luxembourg, with a gender pay gap of only 1.3%, is the country with the lowest pay gap in the European Union.",false
46,12,Focus on marginalised groups,"Oops! The item ""focus on marginalised groups"" ranked fifth among young people's priorities for an inclusive society.",false
47,12,Focus on young migrants,"Oops! Even though migration has been a challenge that the European Union had to face in the last few years and also a hot topic of debate, young people all over Europe put ""focus on young migrants"" only at the eighteenth place of the list of priorities for a more inclusive EU.",false
48,12,Focus on gender equality,"Correct! Even though in the last couple of decades we made some huge steps towards gender equality in the European Union, young people feel like there is still a lot to do to reach this goal. Thus, when asked to rank the items to prioritize to create a more inclusive European society, gender equality ranked as first.",true
49,13,Misleading online sources,"Correct! Although easily accessible information is considered a good thing, verifying the accuracy and reliability of sources of information seems to be more difficult.",true
50,13,Respect and tolerance for diversity of opinions,Oops! Respect and tolerance in conversation online and offline is positively valued and proposed as a solution to hate speech.,false
51,13,Content transparency,Oops! Transparent production of content is a relevant feature to promote understandable and not misleading information.,false
52,14,Families ,Correct! Young people all over Europe see fiends and family as a particularly important source of support and many consultation reports stress especially the role of parents. ,true
53,14,Web-based information,"Oops! Ranking fourth in the overall list, web-based information is still believed to play a great role in helping the youth dealing with mental health issues, but is not seen as the most important form of support. ",false
54,14,Teachers ,"Oops! The role of teachers as a support networks comes right after web-based information, accoring to the general opinion of young Europeans. ",false
55,15,Common Agricultural Policy (CAP),"Correct! The CAP focuses on safeguarding and supporting farmers, natural resources and rural economy. The CAP also includes a young farmer scheme, a start-up aid for young farmers and measures for supporting young people in rural areas.",true
56,15,New Consumer Agenda,Oops! The Consumer Agenda includes every citizen in its policy yet there is no specific provision for rural youth.,false
57,15,Programme for Environment and Climate Action (LIFE),Oops! The Programme does not include specific provisions for rural youth.,false
58,16,31.5%,"Correct! The decrease in youth employment is particularly visible in Ireland, Spain, Portugal, Greece, Denmark, Italy and Slovenia. Nevertheless, during the same period, the employment rate of people aged 15-24 increased by more than 5 p.p. in Hungary, Poland, Germany and Lithuania.",true
59,16,32.5%,Oops! Fun fact: The country with the highest youth employment rate in the EU in 2020 was Netherlands with 62.5%,false
60,16,34.5%,Oops! Bonus fact: The country with the lowest youth employment rate in the EU in 2020 was Greece with 13.8%.More than half of the EU Member States (17 countries) display a decrease in their national figures.,false
61,17,Same ∼€15bn,Oops! Try again.,false
62,17,Double ∼€30bn,"Correct! €26.2bn to be precise.Indicatively, the financial envelope of the programme is set at €24.574 billion in current prices and an additional top-up of €1.7 billion in 2018 prices.",true
63,17,Triple ∼€45bn,"Oops! Whilst being the ""somewhat realistic"" target budget, COVID-19 recovery measures have taken their toll on budgeting for the EU.",false
64,18,Clear information,"Correct! Clear information was the Clear winner (pun intended). More than 60% of the young people who were surveyed listed it as ""Very Important"", as a support mechanism for youth participation.",true
65,18,Voting since the age of 16,"Oops! Interestingly, voting since the age of 16 was the most polarized issue among the support mechanisms for participation included in the survey. Over 20% of the respondents stated that this is “very unimportant” to them, in opposition to 30% who considered this to be “very important”.",false
66,18,Support from parents,"Oops! Interestingly, support from parents ranked high in the choices provided. Almost 50% of the people surveyed considered it to be a ""Very Important"" support mechanism for youth participation, landing it in second place.",false
67,19,8%,Oops! 8% is the share of interviewees that do not believe in climate change. ,false
68,19,36%,Oops! 36% is the share of people that consider the spread of infectious diseases as the greatest cause of concern.,false
69,19,46%,"Correct! Almost half of young Europeans consider climate change as the greatest source of concern for their safety, 10 percentage points more than Covid-19.",false
70,20,31,Oops! Try again!,false
71,20,36,Oops! Try again!,false
72,20,38,Correct!,true
