index,policy_plan_index,policy_plan,day,month,year,name,description
54,9,Slovenia's National Youth Programme,1,10,2013,Review of amendments and discussion,The Committee on Education; Science; Sport and Youth submits an amendment draft act which is then discussed by the National Assembly.
55,9,Slovenia's National Youth Programme,15,10,2013,Vote,"Following a vote, the proposal is adopted and sent to the Official Gazette of the Republic of Slovenia by the President of the Assembly and the Secretary General. The Resolution on the National Youth Programme is published in the Official Gazette of the Republic of Slovenia, No. 90/13."
56,7,Portugal's National Youth Plan,1,11,2011,Collection of opinions from population and representative bodies,"The collection of opinions takes place through an online platform managed by the IPDJ. The contributors are young individuals, youth associations and other interested parties."
57,7,Portugal's National Youth Plan,1,3,2012,Regional workshops,"During this period, workshops are held in each region are held to gather and analyse the views of focus groups."
58,7,Portugal's National Youth Plan,1,5,2012,Presentation of conclusions,A national event is organised to present the results of regional workshops.
59,7,Portugal's National Youth Plan,1,6,2012,Final report,The elaboration of the final report of the consultation cycle presents the results divided by 14 thematic areas. The report is published in the Youth White Book.
60,7,Portugal's National Youth Plan,1,3,2013,Resolution of the Council of Ministers,"In the Resolution of the Council of Ministers no. 11/2013, the strategic proposals in the 14 thematic areas resulting from the consultation cycle are accepted and the government includes consultations with young people's representative bodies in the strategy design."
61,7,Portugal's National Youth Plan,1,12,2015,European Council Resolution,European Council Resolution on an EU Work Plan for Youth (2016-2018).
62,7,Portugal's National Youth Plan,1,10,2017,National Youth Plan Forum,The forum takes place at the Lisbon Youth Centre and aims to collect young people's opinions and recommendations for a National Youth Plan
63,7,Portugal's National Youth Plan,1,11,2017,Focus groups,"Six focus groups participate in activities in a two-week long period in order to develop recommendations for the National Youth Plan. The groups include youth workers, young researchers, young leader and youth associations among others."
64,7,Portugal's National Youth Plan,1,12,2017,Online questionnaire for young people,Questionnaire on youth policy areas elaborated by the IPDJ and made available for young people (15 to 30 years old) to express their opinions on a scale from 1 to 5.
65,7,Portugal's National Youth Plan,1,1,2018,Youth questionnaire for Municipalities,The IPDJ elaborates and sends a questionnaire regarding youth policy areas to Municipalities in order to collect their point of view on their relevance locally.
66,7,Portugal's National Youth Plan,1,9,2018,Adoption of the National Youth Plan,The Council of Ministers approves and adopts the National Youth Plan (PNJ) 2018-2021 with the Resolution No. A144/2018.
67,7,Portugal's National Youth Plan,1,1,2019,Monitoring Report 2018,The monitoring report developed by the IPDJ presents the analysis of actions taken since the adoption of the PNJ and their status. The report is the result of the collaboration among all the governmental bodies involved in the youth sector.
68,7,Portugal's National Youth Plan,1,1,2020,Monitoring Report 2019,The IPDJ publishes a report which monitors the political activities of the different ministries within the framework of the PNJ in the year 2019.
69,6,Portugal's National Energy and Climate Plan,1,11,2016,Commitment to carbon neutrality,"Portugal assumed the commitment to achieve carbon neutrality by 2050 at the Conference of the Parties of the United Nations Framework Convention on Climate Change,"
70,6,Portugal's National Energy and Climate Plan,1,12,2018,Entry into force of Regulation (EU) 2018/1999 ,"Regulation (EU) 2018/1999 on the Governance of the Energy Union and Climate Action, provides that all Member States must prepare and submit a Plan to the European Commission Integrated National Energy and Climate for the 2021-2030 horizon"
71,6,Portugal's National Energy and Climate Plan,15,12,2018,Submission of draft NECP to the European Commission,"As established by Art. 9 of Regulation (EU) 2018/1999, each Member State shall prepare and submit to the Commission a draft of the integrated national energy and climate plan for the next decade."
72,6,Portugal's National Energy and Climate Plan,1,5,2019,Public consultation,"The preparation of the National Energy and Climate 2030 Plan was an open process, with a public consultation on Portal Participa, the organization of technical workshops with the different interested sectors and several thematic sessions."
73,6,Portugal's National Energy and Climate Plan,1,7,2019,Approval of Roadmap for Carbon Neutrality 2050,Council of Ministers Resolution No. 107/2019 approved the Roadmap for Carbon Neutrality 2050 (RNC 2050).
74,6,Portugal's National Energy and Climate Plan,1,12,2019,NECP approval,Approved by a majority in the Council of Ministers by means of a Council of Ministers Resolution.
75,6,Portugal's National Energy and Climate Plan,31,12,2019,Submission to the European Commission,"As established by Art. 3 of Regulation (EU) 2018/1999, each Member State shall notify to the Commission an integrated national energy and climate plan."
76,6,Portugal's National Energy and Climate Plan,1,5,2020,PNEC 2030 Approval,The Portuguese Council of Ministers approved the National Energy and Climate Plan 2021-2030 (PNEC 2030) with Resolution 53/2020.
77,6,Portugal's National Energy and Climate Plan,1,10,2020,European Commission individual assessment.
